nama_asli,nama_kanonik,dasar,perlu_tinjau,pendaftaran
CATUR KARTIKA JAYA,PT. CATUR KARTIKA JAYA,ejaan/kapitalisasi/spasi,,1
PT. DAHLIAH DUTA UTAMA,PT. DAHLIAH DUTA UTAMA,kanonik,,1
DAHLIAH DUTA UTAMA,PT. DAHLIAH DUTA UTAMA,ejaan/kapitalisasi/spasi,,1
PT. DAYA MERRY PERSADA,PT. DAYA MERRY PERSADA,kanonik,,1
DAYA MERRY PERSADA,PT. DAYA MERRY PERSADA,ejaan/kapitalisasi/spasi,,1
DELTAGRO MULIA SEJATI,PT. DELTAGRO MULIA SEJATI,ejaan/kapitalisasi/spasi,,1
PT. DEWARI AGRO SAKTI,PT. DEWARI AGRO SAKTI,kanonik,,1
ENVITEC MULTI INDONESIA,PT. ENVITEC MULTI INDONESIA,ejaan/kapitalisasi/spasi,,1
PT. ENVITEC MULTI INDONESIA,PT. ENVITEC MULTI INDONESIA,kanonik,,1
ETONG CHEMICAL INDONESIA,PT. ETONG CHEMICAL INDONESIA,ejaan/kapitalisasi/spasi,,1
PT. FORMULA DISTRIBUSI KIMIA,PT. FORMULA DISTRIBUSI KIMIA,kanonik,,1
FORMULA DISTRIBUSI KIMIA,PT. FORMULA DISTRIBUSI KIMIA,ejaan/kapitalisasi/spasi,,1
PT. GALATTA LESTARINDO,PT. GALATTA LESTARINDO,kanonik,,1
PT. GRESIK NUSANTARA FERTILIZER,PT. GRESIK NUSANTARA FERTILIZER,kanonik,,1
INDAGRO,PT. INDAGRO,ejaan/kapitalisasi/spasi,,1
PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,kanonik,,1
INTI TANI NIAGA,PT. INTI TANI NIAGA,ejaan/kapitalisasi/spasi,,1
IRQ MAKMUR JAYA,PT. IRQ MAKMUR JAYA,ejaan/kapitalisasi/spasi,,1
INTIDAYA AGROLESTARI,PT. Intidaya Agrolestari,ejaan/kapitalisasi/spasi,,1
PT. Intidaya Agrolestari,PT. Intidaya Agrolestari,kanonik,,1
JIVA AGRICULTURE INDONESIA,PT. JIVA AGRICULTURE INDONESIA,ejaan/kapitalisasi/spasi,,1
KARYA ALAM SUKSES,PT. KARYA ALAM SUKSES,ejaan/kapitalisasi/spasi,,1
PT. KARYA ALAM SUKSES,PT. KARYA ALAM SUKSES,kanonik,,1
PT. KK Indonesia,PT. KK Indonesia,kanonik,,1
KK INDONESIA,PT. KK Indonesia,ejaan/kapitalisasi/spasi,,1
PT. Kristalindo Karunia Internasional,PT. Kristalindo Karunia Internasional,kanonik,,1
PT. LABEZAR UTAMA INDONESIA,PT. LABEZAR UTAMA INDONESIA,kanonik,,1
LABEZAR UTAMA INDONESIA,PT. LABEZAR UTAMA INDONESIA,ejaan/kapitalisasi/spasi,,1
MAKMUR JAYA AGRO,PT. MAKMUR JAYA AGRO,ejaan/kapitalisasi/spasi,,1
PT. MESTIKA KARUNIA UTAMA,PT. MESTIKA KARUNIA UTAMA,kanonik,,1
MITRA KREASIDHARMA,PT. MITRA KREASIDHARMA,ejaan/kapitalisasi/spasi,,1
MITRA GRESIK INDONESIA,PT. Mitra Gresik Indonesia,ejaan/kapitalisasi/spasi,,1
PT. Mitra Gresik Indonesia,PT. Mitra Gresik Indonesia,kanonik,,1
PT. Multidaya Putra Sejahtera,PT. Multidaya Putra Sejahtera,kanonik,,1
NUANSA INDORAYA PERKASA,PT. NUANSA INDORAYA PERKASA,ejaan/kapitalisasi/spasi,,1
PT. NUANSA INDORAYA PERKASA,PT. NUANSA INDORAYA PERKASA,kanonik,,1
PT. NUSA BERKAT ALAM,PT. NUSA BERKAT ALAM,kanonik,,1
PT. NUSA PALAPA GEMILANG,PT. NUSA PALAPA GEMILANG,kanonik,,1
PT. NUSANTARA AGRO FARMA,PT. NUSANTARA AGRO FARMA,kanonik,,1
NUSANTARA AGRO FARMA,PT. NUSANTARA AGRO FARMA,ejaan/kapitalisasi/spasi,,1
ORCHID GLOBAL MAKMUR,PT. ORCHID GLOBAL MAKMUR,ejaan/kapitalisasi/spasi,,1
PLANTSAFE FERTILIZER INDONESIA,PT. PLANTSAFE FERTILIZER INDONESIA,ejaan/kapitalisasi/spasi,,1
PT. PRIMASID ANDALANUTAMA,PT. PRIMASID ANDALANUTAMA,kanonik,,1
PRIMASID ANDALANUTAMA,PT. PRIMASID ANDALANUTAMA,ejaan/kapitalisasi/spasi,,1
PT.PROPADU KONAIR TARAHUBUN,PT. PROPADU KONAIR TARAHUBUN,ejaan/kapitalisasi/spasi,,1
PARAMA AGROINDUSTRI DANAPATI,PT. Parama Agroindustri Danapati,ejaan/kapitalisasi/spasi,,1
PT PERSADA PUPUK INDONESIA,PT. Persada Pupuk Indonesia,tanda-baca,,1
PT. Persada Pupuk Indonesia,PT. Persada Pupuk Indonesia,kanonik,,1
QL AGROFOOD,PT. QL Agrofood,ejaan/kapitalisasi/spasi,,1
PT. QL Agrofood,PT. QL Agrofood,kanonik,,1
RAINBOW AGROSCIENCES,PT. RAINBOW AGROSCIENCES,ejaan/kapitalisasi/spasi,,1
RAWWA ROUNDTEC INDONESIA,PT. RAWWA ROUNDTEC INDONESIA,ejaan/kapitalisasi/spasi,,1
REJEKI AGRO INDONESIA,PT. REJEKI AGRO INDONESIA,ejaan/kapitalisasi/spasi,,1
REJEKI INDO AGROTEC,PT. REJEKI INDO AGROTEC,ejaan/kapitalisasi/spasi,,1
PT. ROJO KOYO MANUNGGAL GROUP,PT. ROJO KOYO MANUNGGAL GROUP,kanonik,,1
ROYAL AGRO INDONESIA,PT. ROYAL AGRO INDONESIA,ejaan/kapitalisasi/spasi,,1
PT. SANTANI AGRO LESTARI,PT. SANTANI AGRO LESTARI,kanonik,,1
SANTANI AGRO MANDIRI,PT. SANTANI AGRO MANDIRI,ejaan/kapitalisasi/spasi,,1
PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,kanonik,,1
SINAR MAS AGRO RESOURCES AND TECHNOLOGY,PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,ejaan/kapitalisasi/spasi,,1
SUMITOMO INDONESIA,PT. SUMITOMO INDONESIA,ejaan/kapitalisasi/spasi,,1
SUNJOY AGRO INDONESIA,PT. SUNJOY AGRO INDONESIA,ejaan/kapitalisasi/spasi,,1
SYNGENTA INDONESIA,PT. SYNGENTA INDONESIA,ejaan/kapitalisasi/spasi,,1
PT. Selaras Alam Sejahtera,PT. Selaras Alam Sejahtera,kanonik,,1
PT. Sitosu Agro Cemerlang,PT. Sitosu Agro Cemerlang,kanonik,,1
SITOSU AGRO CEMERLANG,PT. Sitosu Agro Cemerlang,ejaan/kapitalisasi/spasi,,1
SRI DIPO NUSWANTORO,PT. Sri Dipo Nuswantoro,ejaan/kapitalisasi/spasi,,1
PT. Sri Dipo Nuswantoro,PT. Sri Dipo Nuswantoro,kanonik,,1
PT. Trubus Mitra Swadaya,PT. Trubus Mitra Swadaya,kanonik,,1
PT. UNITED ALACRITY INDONESIA,PT. UNITED ALACRITY INDONESIA,kanonik,,1
WINON INTERNATIONAL,PT. Winon International,ejaan/kapitalisasi/spasi,,1
YUDHA PERDANA ANGESTI,PT. YUDHA PERDANA ANGESTI,ejaan/kapitalisasi/spasi,,1
PT.MANDIRI DASAR UTAMA,PT.MANDIRI DASAR UTAMA,kanonik,,1
MANDIRI DASAR UTAMA,PT.MANDIRI DASAR UTAMA,ejaan/kapitalisasi/spasi,,1
MITRA CIPTA AGRO,PT.MITRA CIPTA AGRO,ejaan/kapitalisasi/spasi,,1
PT. OAT MITOKU AGRIO,PT.OAT MITOKU AGRIO,ejaan/kapitalisasi/spasi,,1
PRAMUDITA DARYA PARMA,PT.PRAMUDITA DARYA PARMA,ejaan/kapitalisasi/spasi,,1
PT.PRAMUDITA DARYA PARMA,PT.PRAMUDITA DARYA PARMA,kanonik,,1
VIETINDO AGRO LESTARI,PT.Vietindo Agro Lestari,ejaan/kapitalisasi/spasi,,1
PT.Vietindo Agro Lestari,PT.Vietindo Agro Lestari,kanonik,,1
PT.WONDERINDO PHARMATAMA,PT.WONDERINDO PHARMATAMA,kanonik,,1
