pemegang_pendaftaran,jumlah_produk,rincian_jenis
PT. ARENA HORMON INDONUSA,6,Zat Pengatur Tumbuh Tanaman:6
PT. MEKAR WARNA SARI,6,Insektisida:4; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1
CV. JATI EMAS UNGGUL,6,Insektisida:3; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. INDONESIA BENXING INDUSTRIAL,6,Herbisida:6
PT. AMPUH PERKASA JAYA,6,Pestisida Rumah Tangga:6
PT. SENTRAL TANI NUSANTARA,6,Herbisida:4; Insektisida:2
CV. BINANGUN AGRO LESTARI,6,Insektisida:2; Herbisida:2; Moluskisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. BINTANG RAPESTRA ABADI,6,Insektisida:3; Fungisida:2; Moluskisida:1
PT. SURAT TANI,6,Herbisida:5; Fungisida:1
PT. AGRINDO SANDARAN MAS,6,Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1
PT. PANEN AGRO PERKASA INDONESIA,5,Herbisida:4; Insektisida:1
PT. BERKAH SUMBER SUKSES,5,Insektisida:2; Fungisida:2; Moluskisida:1
PT. OSIMO INDONESIA,5,Pestisida Rumah Tangga:5
PT. ANKEWA CHEMICAL INDONESIA,5,Herbisida:3; Insektisida:2
PT. PUTRA TIMUR AGRO NUSANTARA,5,Herbisida:3; Insektisida:2
PT. DWIAGRI MAKMUR INTERTRADE,5,Herbisida:4; Zat Pengatur Tumbuh Tanaman:1
PT. BINGEI AGUNG,5,Herbisida:2; Fungisida:1; Insektisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. ENSYSTEX INTERNATIONAL INDONESIA,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:2
PT. PRIMA LESTARI AGROSCIENCES INDONESIA,5,Fungisida:2; Herbisida:2; Insektisida:1
PT Indo Pest Biochem,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Insektisida:1; Bahan pengawet kayu:1
PT. SEGORO INTERNASIONAL,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:1; Insektisida:1
CV. NUSA NUR AGRO,5,Zat Pengatur Tumbuh Tanaman:4; Insektisida:1
CV. TUNAS SUBUR,5,Insektisida:4; Fungisida:1
PT. INDO GLOBAL TRADE,5,Fumigan:5
PT. TEXCHEM INDONESIA,5,Insektisida:5
PT. KIMIKA USAHA PRIMA,5,Insektisida:2; Fungisida:2; Herbisida:1
PT. TAKBIR SUKMA TRADA INDONESIA,5,Insektisida:3; Pestisida lain-lain:1; Pestisida Rumah Tangga:1
PT. INTER AGRO TECHNOLOGY INDONESIA,5,Rodentisida:2; Insektisida:2; Repelen:1
PT. PERDANA AGRO MANDIRI,5,Insektisida:3; Herbisida:1; Moluskisida:1
PT. BRILLIANCE AGROSCIENCES INDONESIA,5,Herbisida:5
PT. NUSAMAS KIMIA PERSADA,5,Herbisida:4; Insektisida:1
PT. CATUR MANUNGGAL JAYA ABADI,5,Herbisida:2; Insektisida:2; Fungisida:1
PT. ACE BIOCHEM INDONESIA,5,Insektisida:2; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. NIROGA SUMBER SEJAHTERA,5,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:1
PT Belirang Perkasa Agro,5,Insektisida:4; Fungisida:1
PT. KATAYA ABADI,4,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4
PT. ARENA AGRO UTAMA,4,Fungisida:2; Zat Pengatur Tumbuh Tanaman:2
PT. WIRAJAYA MITRA SUKSESTAMA,4,Pestisida Rumah Tangga:3; Moluskisida:1
PT. DITYA CHEMINDO,4,Zat Pengatur Tumbuh Tanaman:2; Fungisida:1; Herbisida:1
PT. SOLUSI MAJU AGRO TANI,4,Insektisida:3; Fungisida:1
PT. FAJAR BUANA CHEMICAL,4,Herbisida:4
PT. MULTI GLOBAL CENTRO,4,Fumigan:3; Insektisida:1
PT. LUMBUNG AGRO MAKMUR,4,Insektisida:2; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1
PT. Spektra Global Intiagro,4,Herbisida:3; Insektisida:1
PT. MEDION FARMA JAYA,4,Insektisida:2; Pestisida Rumah Tangga:1; Pestisida lain-lain:1
PT. BESTANI AGRO SEJAHTERA,4,Herbisida:4
CV. CENTRAL BUKIT MORIA,4,Pestisida Rumah Tangga:4
CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,4,Insektisida:3; Herbisida:1
PT. SINGA KIMIA INDONESIA,4,Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Pestisida Rumah Tangga:1
PT. LANGGENG MUSTIKA CHEMINDO,4,Herbisida:4
PT. PARAMA AGROINDUSTRI DANAPATI,4,Herbisida:3; Insektisida:1
CV. SINAR AGRO KIMIA INDONESIA,4,Insektisida:3; Fungisida:1
PT. EKA SALA ALFAINDO,4,Herbisida:4
PT. TIENYEN INTERNATIONAL,4,Insektisida:4
PT. KUDA RAYA KARYANUSA,4,Pestisida Rumah Tangga:4
PT. SEJAHTERA AGRONUSA LESTARI,4,Herbisida:4
PT. MULTIGUNA GEMILANG,4,Fumigan:4
PT. BRAVO DINAMIKA,4,Insektisida:2; Herbisida:1; Moluskisida:1
PT. SPEKTRUM GEO INAGRO,4,Herbisida:4
PT. SUMITOMO INDONESIA,4,Fungisida:3; Herbisida:1
PT. PT. Perusahaan Perdagangan Indonesia (Persero),4,Insektisida:4
PT. PT.BARU TOTAL SOLUSINDO,4,Herbisida:2; Rodentisida:2
PT. AVEL PESTINDO,4,Zat Pengatur Tumbuh Tanaman:3; Herbisida:1
CV. SUBUR TANI AGRO RAYA SEJAHTERA,4,Herbisida:4
PT. INDO ASIA TIRTA MANUNGGAL,4,Bakterisida:3; Fungisida:1
PT. SANJAYA SEJAHTERA LESTARI,4,Herbisida:4
PT. CAKRA AGRO INDONESIA,4,Insektisida:2; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1
CV. JOYO MAKMUR SUKSES,4,Insektisida:2; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1
CV. BUMINDO ABADI MAKMUR,4,Fungisida:4
CV. SARANA TANI MAKMUR,3,Insektisida:2; Fungisida:1
PT. RIA INDO AGRI,3,Insektisida:3
PT. SYNAGRO PERKASA,3,Herbisida:3
PT. CIPTA KARYA UNGGULAN,3,Pestisida Rumah Tangga:2; Repelen:1
PT. SURYA KARYA ANDALAN,3,Herbisida:3
CV PLANET AGRONUSA,3,Zat Pengatur Tumbuh Tanaman:3
PT. GLOBAL AGRO MANDIRI,3,Fungisida:1; Insektisida:1; Herbisida:1
PT. ZAMRUD LINTAS KATULISTIWA,3,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Insektisida:1
PT. MULTIKIMIA AGRO SEJAHTERA,3,Herbisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. KALATHAM,3,Zat Pengatur Tumbuh Tanaman:2; Insektisida:1
PT. Duta Alam Prima,3,Insektisida:2; Fungisida:1
CV. PRIMA BERKAH NUSANTARA,3,Fungisida:2; Insektisida:1
CV. SUGI TEKNIK PANGAN,3,Insektisida:3
PT. Guthrie Agri Bio,3,Rodentisida:2; Atraktan / Feromon:1
CV. TRUBUS PRIMA,3,Insektisida:2; Fungisida:1
CV. FLORA DAN FAUNA,3,Herbisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. PUTRISARI KIMIANUSA,3,Herbisida:3
PT. RAGAM MANDIRI,3,Herbisida:3
PT. PHOSPHINDO JAYA UTAMA,3,Fumigan:2; Insektisida:1
CV. DMA,3,Insektisida:3
CV. BIMAGRO INDONESIA,3,Herbisida:3
PT. AGROW USAHA TANI INDONESIA,3,Insektisida:2; Herbisida:1
PT. AGRI KIMIA NUSANTARA,3,Herbisida:3
PT. AGROSID MANUNGGAL SENTOSA,3,Atraktan / Feromon:1; Fungisida:1; Bakterisida:1
PT. RAWWA ROUNDTEC INDONESIA,3,Insektisida:2; Zat Pengatur Tumbuh Tanaman:1
PT. GOLDEN MAKMUR AGRI,3,Herbisida:3
CV. ASRITANI UTAMA,3,Fungisida:2; Insektisida:1
PT. TOYOTA TSUSHO INDONESIA,3,Fungisida:3
PT. ZAINI MAKMUR SENTOSA,3,Insektisida:1; Fungisida:1; Herbisida:1
PT. AGRICULTURE CONSTRUCTION INDONESIA,3,Insektisida:3
PT. VADEL KSATRIA SAMUDRA INDONESIA,3,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2; Pestisida Rumah Tangga:1
PT. AGRI KEMIA NATURA,3,Herbisida:2; Fumigan:1
CV. CULTURE AGRITECH INTERZONA,3,Insektisida:2; Fungisida:1
PT. PESTINDO SOLUTION,3,Rodentisida:2; Pestisida Rumah Tangga:1
PT. AGRIVA CROPSCIENCE INDONESIA,3,Insektisida:3
PT. AGROSIDA SELARAS BERSAMA,3,Fungisida:2; Insektisida:1
PT. GOODFARM CHEMICAL INDONESIA,3,Insektisida:1; Fungisida:1; Herbisida:1
PT. JUBARO AGRO INDONESIA,3,Insektisida:2; Fungisida:1
PT. MODERN AGRICULTURE INDONESIA,3,Insektisida:3
PT. NUSANTARA SURYA BENIH,3,Bahan pengawet kayu:3
PT. BIO AGRITECH NUSANTARA,3,Bahan pengawet kayu:1; Insektisida:1; Moluskisida:1
CV. SEMESTA AGRO MAKMUR,3,Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Insektisida:1
CV. SAKASAKI,2,Fungisida:1; Insektisida:1
PD. GARUDA,2,Moluskisida:2
PT. FLORA FAUNA MANGGALA,2,Herbisida:2
PT. PANCA AGRO NIAGA LESTARI,2,Atraktan / Feromon:1; Herbisida:1
CV. AGRO MANDIRI SEJAHTERA,2,Insektisida:1; Fungisida:1
CV. JAVAMAS AGROPHOS,2,Fungisida:1; Zat Pengatur Tumbuh Tanaman:1
CV. BANGKIT JAYA,2,Insektisida:2
CV. MULTIGRO MAKMUR ABADI,2,Herbisida:2
PT. INTISUBUR KIMINDO RAYA,2,Herbisida:2
PT. AGSPEC INDONESIA,2,Insektisida:2
PT. MENARA BERLIAN,2,Zat Pengatur Tumbuh Tanaman:2
PT. SANITAS,2,Zat Pengatur Tumbuh Tanaman:1; Insektisida:1
PT. GEKA MITRA NIAGA,2,Fungisida:1; Herbisida:1
PT. SEJUK ALAM LESTARI,2,Herbisida:2
PT. KENCANA AGRO GOLDENSIDA,2,Insektisida:2
PT. PT BESTAGRO INDO SUKSES,2,Rodentisida:1; Insektisida:1
CV. MASTERGREEN AGROCHEMICAL INDONESIA,2,Insektisida:1; Zat Pengatur Tumbuh Tanaman:1
PT. GRAHA AGRO MAKMUR,2,Herbisida:2
PT. PERTIWI INTERTRADE,2,Fungisida:2
PT LION WINGS,2,Repelen:2
PT. FLORA FAUNA AGRO,2,Herbisida:2
PT. TUNAS HARMONI ABADI,2,Fungisida:1; Insektisida:1
PT. BINTANG CAHAYA AGRO PLANET,2,Herbisida:2
PT. MASTRA INDOKORPORA,2,Herbisida:2
CV. BINTANG TANI SEJAHTERA,2,Herbisida:2
PT. AGRO SENTOSA INDAH KARUNIA,2,Herbisida:2
CV. SURYA AGRO PERKASA,2,Herbisida:2
PT. TRI AYUMON TERPADU,2,Fumigan:2
PT. WIHADIL,2,Herbisida:2
PT. GREEN ORGANIC DAILY,2,Pestisida Rumah Tangga:2
PT. INTI TANI NIAGA,2,Herbisida:2
PT. YASIDA MAKMUR ABADI,2,Herbisida:1; Insektisida:1
PT. CHEMIFIN JAYA UTAMA,2,Pestisida lain-lain:2
PT. FAJAR NASIONAL CIPTA,2,Insektisida:2
PT. DAYA MUDA AGUNG,2,Insektisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PT. V MAX ASIA TANI,2,Herbisida:2
PT. SEMESTA HARAPAN INDONESIA,2,Herbisida:2
PT. FABINDO SEJAHTERA,2,Repelen:1; Pestisida Rumah Tangga:1
PT BIO AGRITECH NUSANTARA,2,Bahan pengawet kayu:1; Insektisida:1
PT. DYRIZ INDONESIA,2,Zat Pengatur Tumbuh Tanaman:2
PT. PROPADU KONAIR TARAHUBUN,2,Fungisida:2
PT. POLARCHEM,2,Herbisida:1; Insektisida:1
PT. CENTRA BIOTECH INDONESIA,2,Fungisida:1; Insektisida:1
PT. NATHANI INDONESIA,2,Fungisida:2
PT. AGROCHEM JAYA,2,Insektisida:1; Fungisida:1
PT. LOTUS GLOBALINDO SENTOSA,2,Bahan pengawet kayu:2
PT. UTOMO UTOMO,2,Insektisida:1; Pestisida Rumah Tangga:1
PT. ESSENCE AGRO CHEMICAL,2,Insektisida:1; Fungisida:1
PT. INTITANI AGROKIMINDO,2,Herbisida:2
CV. PRADIPTA PARAMITA,2,Pestisida Rumah Tangga:1; Fungisida:1
PT. TURRIMA AGRO MASS BORNEO,2,Herbisida:2
PT. ANUGRAH SENTANA AGRO,2,Zat Pengatur Tumbuh Tanaman:2
PT. MAKUTA AGRO SEJATI,2,Zat Pengatur Tumbuh Tanaman:2
CV. TANI LESTARI,2,Herbisida:2
PT. NOPOSION AGROCHEMICALS INDONESIA,2,Moluskisida:1; Herbisida:1
PT. REJEKI AGRO INDONESIA,2,Insektisida:1; Herbisida:1
PT. PRIMA AGRO NETWORK,2,Herbisida:2
CV. ANGKASA DIGITAL NIAGA,2,Rodentisida:2
PT. TRIKA SAKA JAYA,2,Bahan pengawet kayu:2
PT. DOVER CHEMICAL,2,Fungisida:2
PT. DHARMA AYU TANI,2,Insektisida:2
PT. SANOVA,2,Fungisida:1; Herbisida:1
PT. GIGA PUTRA TANI,2,Pestisida Pengendalian Vektor Penyakit Pada Manusia:2
PT. OGINESIA MULTI TANI,2,Herbisida:1; Insektisida:1
PT. WAHANA PUNDIKARSA ABADI,1,Zat Pengatur Tumbuh Tanaman:1
CV. TANI ABADI,1,Herbisida:1
PT. NUTRI AGRO INDONESIA,1,Insektisida:1
CV INDO AGRO CHEMICAL,1,Insektisida:1
PT. BRENNTAG,1,Bakterisida:1
PT. KAO INDONESIA DISTRIBUTION,1,Repelen:1
CV. ALAM NABATI ANACARDIUM,1,Fungisida:1
PT. BAHANA HANNELA MASSIMA,1,Pestisida Rumah Tangga:1
CV. INDO TANI,1,Herbisida:1
PT. MITRA SUKSES AGRINDO,1,Fungisida:1
PT. PRIMA AGRO LANCAR,1,Insektisida:1
CV. AMARTA BUANA SEJAHTERA,1,Herbisida:1
PT. PELITA AGUNG,1,Herbisida:1
PT. GALENIUM PHARMASIA LABORATORIES,1,Repelen:1
PT. HALIM SAKTI PRATAMA,1,Fungisida:1
PT. BINTANG ANUGERAH CAHAYA ABADI,1,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PT. SMARTZ AGRO LESTARI,1,Insektisida:1
SARAYA.LF.MANDIRI,1,Insektisida:1
CV. INDAH TANI SEJAHTERA,1,Insektisida:1
PT. GOLDEN STEP INDONESIA,1,Fungisida:1
PT. DEWARI AGRO SAKTI,1,Insektisida:1
PT. SANTANI AGRO LESTARI,1,Herbisida:1
PT. PUPUK KUJANG,1,Fungisida:1
PT. DWI PRIMA REZEKY,1,Pestisida Rumah Tangga:1
PT. KINGLAB INDONESIA,1,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PT. DELITAL LEEFREN AGROINDUSTRI,1,Herbisida:1
PT. GOENA WAHANA AGRO NIAGA,1,Insektisida:1
PT. ASTORIA PRIMA,1,Pestisida Rumah Tangga:1
PT. Joenoes Ikamulya,1,Repelen:1
PT. MALINDO AGROTEK PERKASA,1,Herbisida:1
PT. Hamka Multi Karya,1,Insektisida:1
PT. UPI CROPSCIENCE INDONESIA,1,Fungisida:1
CV. AGRIJAYA,1,Fumigan:1
PT. PROVIVI PHEROMONES INDONESIA,1,Atraktan / Feromon:1
PT. DERAS KARET PRIMA,1,Zat Pengatur Tumbuh Tanaman:1
PT. BIO AGRI LINK,1,Insektisida:1
PT. Kiagus Syaiful Anwar,1,Pestisida Rumah Tangga:1
CV. TANI ABADI BORNEO,1,Insektisida:1
CV. H.C.S. POWERINDO,1,Insektisida:1
PT. PUTRA SWADAYA PERKASA,1,Bahan pengawet kayu:1
PT. GREENLIFE BIOSCIENCE,1,Insektisida:1
PT. OAT MITOKU AGRIO,1,Zat Pengatur Tumbuh Tanaman:1
PT. BINTANG KENCANA ANUGRAH,1,Pestisida Rumah Tangga:1
CV. BUMI LESTARI KINTAMANI,1,Insektisida:1
PT. MEDPHOS CITRA MANDIRI,1,Fumigan:1
CV. CINDE LARAS,1,Insektisida:1
PT. LADANG SUBUR SENTOSA,1,Herbisida:1
PT. AGRO TUNAS RAYA,1,Fungisida:1
PT. SARI SARANA KIMIATAMA,1,Fungisida:1
PT. CATUR KARTIKA JAYA,1,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
PATIH GAJAHMADA,1,Fungisida:1
AROMA,1,Fungisida:1
PT. INTER ANEKA LESTARI KIMIA,1,Bahan pengawet kayu:1
CV. TANI MUJUR,1,Herbisida:1
PT. SIFA SAUDARA ABADI,1,Herbisida:1
PT. MENARA JAYA LESTARI,1,Pestisida Rumah Tangga:1
CV. AGRINDO PERSADATAMA,1,Fungisida:1
PT. SEJAHTERA EKOLOGIKA DUTA QUEMIKA,1,Atraktan / Feromon:1
PT. SML AGRO INDONESIA,1,Insektisida:1
PT. SURYAMAS MENTARI,1,Insektisida:1
PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,1,Atraktan / Feromon:1
PT. SINAR HIDUP SATWA,1,Zat Pengatur Tumbuh Tanaman:1
PT. TEJA UTAMA INDOPAMENANG,1,Pestisida Rumah Tangga:1
PT. PANCA TALENTAMAS,1,Pestisida Rumah Tangga:1
PT. BUANA NATURA KIRANA,1,Pestisida Rumah Tangga:1
CV. SAHABAT AGRI SEJATI,1,Herbisida:1
CV. BARU INDONESIA,1,Rodentisida:1
CV. SURYA UTAMA NIAGA TANI,1,Herbisida:1
PT. MESTIKA KARUNIA UTAMA,1,Herbisida:1
CV. DITAMA RAYA,1,Zat Pengatur Tumbuh Tanaman:1
PT. NORVUS INDONESIA,1,Pestisida Rumah Tangga:1
PT. FARM HANNONG INDONESIA,1,Herbisida:1
CV. AZKIA BINTANG NUSANTARA,1,Zat Pengatur Tumbuh Tanaman:1
PT. MITRA BIOSEKURITI SOLUSI,1,Fumigan:1
MEGAN GALUS KINANTAN,1,Insektisida:1
PT. PRIMASID ANDALANUTAMA,1,Zat Pengatur Tumbuh Tanaman:1
CV. KOLEKTIF SURYA CEMERLANG,1,Rodentisida:1
PT. AVIA AVIAN,1,Pestisida lain-lain:1
PT. MULTIKRIDA JAYA UTAMA,1,Zat Pengatur Tumbuh Tanaman:1
CV. BERKAT MANNA MAJU,1,Fungisida:1
PT. LABEZAR UTAMA INDONESIA,1,Insektisida:1
PT. SINAR RAFLESIA SELATAN,1,Herbisida:1
PT. LUAS BIRUS UTAMA,1,Pestisida Rumah Tangga:1
PT. FADJAR PURNASARANA,1,Herbisida:1
PT. PT. Anugerah Sarana Hayati,1,Atraktan / Feromon:1
PT. SURYA AGROCHEM MITRA ABADI,1,Bahan pengawet kayu:1
CV. AGRO MIFTAHUL KHISBA,1,Fungisida:1
PT. DAYA MERRY PERSADA,1,Herbisida:1
PT. WAHANA MAS,1,Fungisida:1
PT. GERBANG CAHAYA UTAMA,1,Moluskisida:1
CV. EUREEKA INDONESIA,1,Insektisida:1
CV. MANDIRI ANUGERAH ABADI,1,Bahan pengawet kayu:1
PT. CITA AGUNG JAYA,1,Herbisida:1
PT. INDESSO AROMA,1,Repelen:1
CV. NUSAGRI,1,Atraktan / Feromon:1
PT. MEDION ARDHIKA BHAKTI,1,Fungisida:1
CV. RAJA BENUA MAS,1,Fungisida:1
PT. UNITED ALACRITY INDONESIA,1,Insektisida:1
PT. BUDI MUTU PRIMA,1,Pestisida Rumah Tangga:1
PT. DWIJAYA PERKASA ABADI,1,Moluskisida:1
PT. GRAHA ESA,1,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
CV. NAZA AGRO'S,1,Fungisida:1
PT. BIOJOYO TEKNOLOGI INDUSTRI,1,Pestisida Pengendalian Vektor Penyakit Pada Manusia:1
CV. LIVE ANGKASA,1,Zat Pengatur Tumbuh Tanaman:1
PT. KOIN TUNGGAL JAYA,1,Zat Pengatur Tumbuh Tanaman:1
PT. ETOS INDONUSA,1,Pestisida Rumah Tangga:1
CV. GRAHA FERTICON PERKASA,1,Zat Pengatur Tumbuh Tanaman:1
PT. SINAR ANTJOL,1,Repelen:1
PT. NATUR AGRI TANI,1,Akarisida:1
PT. FADJAR AGRO SARANA,1,Herbisida:1
PT. WAHANA KENCANA INDONESIA,1,Pestisida Rumah Tangga:1
PT. TANI PERKASA KIMINDO,1,Moluskisida:1
PT. SANDAR INTERNATIONAL,1,Insektisida:1
