DATA KIOS PUPUK LENGKAP ( KPL ) DENGAN WILAYAH KERJA SAMA KABUPATEN BATANG  ( PER 23 PEBRUARI 2017 );;;;;;;
;;;;;;;
NO;KECAMATAN/;NO; NAMA KIOS;NAMA PENGECER; WILAYAH KERJA / DESA CAKUPAN *);;
11;BANDAR;46;Upaya Tani;H. Ananta Masyadi, Jl. Perhutani;Pesalakan, Wonodadi, Tombo, Binangun;;
;CV BERKAH/ KUD ;47;Berkah Ilahi;H. Riharso, Wonokerto; Wonokerto, Kluwih, Candi, Sidayu, Tambahrejo ;;
;TANI MAKMUR;48;Tani Lestari;Wahyu Krisnawati, Ds. Simpar; Pucanggading, Simpar, Batiombo, Wonosegoro, Bandar ;;
;;49;Nasional/Harum;Sanyoto, Ds. Toso. Rt. 4/3; Toso, Wonomerto, Tumbrep ;;
;;;;;;;
12;REBAN;50; Sejahtera;Alpin, Ds. Reban; Kepundung, Adinuso;;
;PT. PETROSIDA/ ;51; Muda Tani;Abd Jamil. Ds. Sojomerto Rt. 02/1; Wonosobo, Karanganyar;;
;KUD. TANI MAKMUR;52; Sumber Pangan;Zubaidah Ds. Sojomerto Rt.3/1; Sojomerto, Polodoro;;
;;53; Maju Tani;Aminudin Ds. Sukomangli Rt.1/3; Kalisari, Kumesu, Sukomangli;;
;;54;Kurnia Tani;Wartiah, Ds. Reban Rt. 14/5; Reban, Mojotengah, Cablikan, Ngroto ;;
;;55;Semampir Tani;Hj.Faridah, Ds.Semampir; Semampir, Wonorojo, Padomasan ;;
;;56;Prapat Jaya;Hj. Cartini, Ds. Tambakboyo Rt.4/1; Tambak boyo, Ngadirejo, Pacet ;;
;;;;;;;
13;BLADO;57; Tani Jaya Agro;Retno Alfi Utami,Ds. Gerlang; Gerlang;;
;PT. PETROSIDA/ ;58;Sahara Tani;Sahuri, Ds. Blado Rt.6/3; Keteleng, Pesantren, Besani, Bismo, Kalipancur ;;
;KUD. TANI MAKMUR;59;Sari Usaha;Anjal Satoto, Ds. Blado Rt.6/3; Cokro,Kambangan, Selopajang Brarat, Selopajang Timur,Wonobodro ;;
;;;;; Kalitengah, Kalisari, Kembang Langait, Gondang, Blado, Keputon,  ;;
;;;;; Bawang ;;
14;KANDEMAN;60;Sido Makmur;Kasidin Ds. Tragung ;  Tragung, Botolambat, Cempereng ;;
;CV. MAJU MAPAN/;61;Kiki Tani;Sukirno, Ds. Depok Rt.2/1Kandeman; Depok, Ujungnegoro ;;
;CV. BERKAH;62;Tani Barokah;sarifudin, Jl.Gorong No.10 Jragan; Juragan, Bakalan, Kandeman, Karanggeneng,Tegalsari, Wonokerso ;;
;;63;Rukun Tani;Ari Wibiwo, Ds. Karanganom Rt.2/2;Karanganom, Lawangaji;;
;;;;;;;
15;WARUNGASEM;64;Anugrah Jaya;Hj. Sofiatun Ds. Menguneng No.1;  Menguneng, Terban, Lebo, Sijono, Candiareng ;;
;CV. MAJU MAPAN/;65;Anugrah Tani;Magfuroh, Ds. Pandansari Rt.1/1; Pandansari, Sariglagah, Pejambon, Kaliwareng ;;
;CV. MAKMUR JAYA;66;Berkah Jaya;Kholidin Ds. Sidorejo Rt.1/1; Sidorejo, Cepagan, Pesaren, Sawahjoho ;;
;ABADI;67;Harapan Tani;Masrukhin Ds. Warungasem No. ;  Warungasem, Gapuro, Banjiran, Kalibeluk, Masin ;;
;;;;  58 Rt. 06/08;;;
;;;;;;;
;;;;;Kepala Dinas Perindustrian, Perdagangan,;;
;;;;; Koperasi dan UKM Kabupaten Batang;;
;;;;;;;
;;;;;;;
;;;;;M. ISNANTO, SE, MSi;;
;;;;;NIP. 19590812 198003 1 010;;
